Plant;TRONC;ELMNT;SAR;RAM;RANG;Xabs;Yabs;Zabs;DIAM
1;base;0;0;0;0;0;0;8.24;5.027026504
1;0;1;1;0;0;-7.736183096;-2.98559946;12.5;1.858933322
1;0;1;1;1;0;-9.536183096;-1.32559946;14.18;1.831591759
1;0;1;1;1;1;-9.536183096;-1.32559946;14.18;1.6
1;0;1;1;p;0;-13.1061831;-7.45559946;17.36;0.209001612
1;0;1;1;F1;0;-16.4461831;-5.29559946;19.74;0
1;0;1;1;F2;0;-19.3861831;-4.69559946;15.13;0
1;0;1;1;F3;0;-17.9561831;-9.74559946;9.28;0
1;0;1;1;F4;0;-12.4661831;-9.52559946;9.65;0
1;0;1;1;F5;0;-9.036183096;-10.46559946;14.91;0
1;0;1;1;1;1;-8.866183096;-2.10559946;17.43;1.79548726
1;0;1;1;p;0;-0.036183096;-2.75559946;16.99;0.197620639
1;0;1;1;F1;0;3.793816904;-6.32559946;19.18;0
1;0;1;1;F2;0;8.063816904;-6.85559946;12.78;0
1;0;1;1;F3;0;4.783816904;-3.05559946;7.46;0
1;0;1;1;F4;0;1.803816904;2.51440054;11.08;0
1;0;1;1;F5;0;-2.006183096;2.10440054;14.61;0
1;0;1;1;1;2;-10.3961831;-0.70559946;20.72;1.73464309
1;0;1;1;p;0;-10.6261831;6.38440054;22.73;0.178493207
1;0;1;1;F1;0;-16.9961831;6.94440054;24.68;0
1;0;1;1;F2;0;-17.7261831;11.04440054;19.13;0
1;0;1;1;F3;0;-14.7761831;13.98440054;18.43;0
1;0;1;1;F4;0;-6.986183096;9.97440054;16.78;0
1;0;1;1;F5;0;-4.156183096;5.90440054;20.97;0
1;0;1;1;1;3;-9.446183096;-2.07559946;23.91;1.680008518
1;0;1;1;p;0;-2.686183096;-1.64559946;28.66;0.193514664
1;0;1;1;F1;0;-5.886183096;-4.99559946;30.93;0
1;0;1;1;F2;0;-1.026183096;-8.81559946;30.73;0
1;0;1;1;F3;0;6.063816904;-6.86559946;26.08;0
1;0;1;1;F4;0;4.593816904;-1.04559946;24.53;0
1;0;1;1;F5;0;-0.676183096;5.09440054;25.89;0
1;0;1;1;1;4;-11.3361831;-1.19559946;29.13;1.636977784
1;0;1;1;p;0;-16.3861831;-0.70559946;38.02;0.209833705
1;0;1;1;F1;0;-13.4261831;-6.98559946;38.56;0
1;0;1;1;F2;0;-23.5561831;-8.10559946;37.7;0
1;0;1;1;F3;0;-27.3361831;-2.37559946;37.73;0
1;0;1;1;F4;0;-23.2761831;5.89440054;34.16;0
1;0;1;1;F5;0;-15.0561831;5.99440054;34.59;0
1;0;1;1;1;5;-7.916183096;-3.73559946;35.55;1.635438112
1;0;1;1;p;0;3.163816904;-2.72559946;38.81;0.217461669
1;0;1;1;F1;0;3.123816904;-9.23559946;44.24;0
1;0;1;1;F2;0;12.7438169;-7.37559946;42.16;0
1;0;1;1;F3;0;14.1738169;-3.28559946;34.85;0
1;0;1;1;F4;0;7.273816904;2.76440054;30.31;0
1;0;1;1;F5;0;3.833816904;4.13440054;36.02;0
1;0;1;1;1;6;-9.486183096;-2.13559946;44.69;1.603907774
1;0;1;1;1;7;-6.776183096;-5.78559946;52.72;1.585608101
1;0;1;1;p;0;6.333816904;-7.78559946;57.67;0.208406918
1;0;1;1;F1;0;8.983816904;-13.56559946;65.52;0
1;0;1;1;F2;0;15.3838169;-16.52559946;59.77;0
1;0;1;1;F3;0;20.0638169;-7.36559946;51.54;0
1;0;1;1;F4;0;14.8738169;-1.28559946;51.2;0
1;0;1;1;F5;0;7.583816904;1.57440054;56.1;0
1;0;1;1;1;8;-8.446183096;-1.79559946;59.15;1.568905803
1;0;1;1;p;0;1.653816904;6.97440054;61.07;0.240708417
1;0;1;1;F1;0;8.723816904;10.42440054;63.25;0
1;0;1;1;F2;0;7.643816904;17.60440054;59.83;0
1;0;1;1;F3;0;5.523816904;10.54440054;51.37;0
1;0;1;1;F4;0;8.113816904;8.08440054;51.26;0
1;0;1;1;F5;0;4.703816904;0.68440054;54.78;0
1;0;1;1;1;9;-7.496183096;-4.89559946;69.46;1.520511743
1;0;1;1;p;0;4.013816904;-9.02559946;75.41;0.173493123
1;0;1;1;F1;0;6.433816904;-15.15559946;79.58;0
1;0;1;1;F2;0;8.003816904;-19.92559946;70.73;0
1;0;1;1;F3;0;16.1238169;-13.48559946;71.47;0
1;0;1;1;F4;0;14.4738169;-8.72559946;71;0
1;0;1;1;F5;0;9.493816904;-3.12559946;71.55;0
1;0;1;1;1;10;-8.406183096;-0.08559946;77.81;1.468780376
1;0;1;1;p;0;-13.0761831;6.99440054;85.82;0.215624823
1;0;1;1;F1;0;-12.6661831;15.68440054;84.8;0
1;0;1;1;F2;0;-19.9361831;15.05440054;81.16;0
1;0;1;1;F3;0;-25.0261831;11.33440054;81.27;0
1;0;1;1;F4;0;-24.1461831;4.57440054;82.67;0
1;0;1;1;F5;0;-17.0261831;-0.42559946;85.92;0
1;0;1;1;1;11;-3.836183096;-3.62559946;83.53;1.425168568
1;0;1;1;p;0;4.453816904;-5.87559946;92.09;0.180726096
1;0;1;1;F1;0;9.723816904;-13.03559946;94.63;0
1;0;1;1;F2;0;16.0738169;-11.65559946;91.1;0
1;0;1;1;F3;0;15.4138169;-10.04559946;84.01;0
1;0;1;1;F4;0;11.6438169;0.30440054;86.02;0
1;0;1;1;F5;0;9.413816904;1.31440054;90.4;0
1;0;1;1;1;12;-5.726183096;-3.78559946;94.95;1.420065465
1;0;1;1;p;0;2.233816904;1.11440054;97.72;0.219485204
1;0;1;1;F1;0;3.423816904;8.58440054;97.66;0
1;0;1;1;F2;0;8.803816904;10.84440054;94.88;0
1;0;1;1;F3;0;8.853816904;3.87440054;89.84;0
1;0;1;1;F4;0;8.903816904;0.69440054;89.83;0
1;0;1;1;F5;0;6.893816904;-3.22559946;93.18;0
1;0;1;1;1;13;-2.556183096;-6.59559946;101.91;1.403556316
1;0;1;1;p;0;6.643816904;-8.72559946;106.64;0.194865889
1;0;1;1;F1;0;8.303816904;-15.23559946;108.93;0
1;0;1;1;F2;0;14.3238169;-15.89559946;104.57;0
1;0;1;1;F3;0;14.6238169;-13.84559946;99;0
1;0;1;1;F4;0;11.8138169;-2.68559946;102.94;0
1;0;1;1;F5;0;5.943816904;-3.03559946;108.99;0
1;0;1;1;1;14;-6.536183096;-3.71559946;111.18;1.393791926
1;0;1;1;p;0;2.093816904;-0.03559946;115.55;0.16605945
1;0;1;1;F1;0;4.073816904;7.64440054;120.68;0
1;0;1;1;F2;0;6.563816904;10.38440054;114.31;0
1;0;1;1;F3;0;11.0738169;3.91440054;115.31;0
1;0;1;1;F4;0;11.1438169;1.01440054;117.25;0
1;0;1;1;F5;0;7.933816904;-3.48559946;114.37;0
1;0;1;1;1;15;-5.756183096;-8.10559946;117.95;1.352865756
1;0;1;1;p;0;5.493816904;-11.98559946;121.07;0.179512051
1;0;1;1;F1;0;8.183816904;-19.17559946;123.43;0
1;0;1;1;F2;0;13.0038169;-21.00559946;115.98;0
1;0;1;1;F3;0;9.903816904;-14.77559946;109.93;0
1;0;1;1;F4;0;10.6138169;-6.23559946;114.05;0
1;0;1;1;F5;0;9.213816904;-5.58559946;120.34;0
1;0;1;1;1;16;-7.496183096;-5.32559946;127.67;1.336730249
1;0;1;1;p;0;-7.876183096;3.66440054;134.62;0.203908026
1;0;1;1;F1;0;-17.6761831;5.08440054;138.38;0
1;0;1;1;F2;0;-20.7961831;10.24440054;133.69;0
1;0;1;1;F3;0;-14.2161831;9.37440054;125.67;0
1;0;1;1;F4;0;-5.896183096;11.52440054;127.29;0
1;0;1;1;F5;0;-3.666183096;9.38440054;131.94;0
1;0;1;1;1;17;-1.826183096;-8.91559946;133.71;1.29017495
1;0;1;1;p;0;10.1438169;-8.14559946;139.21;0.232624324
1;0;1;1;F1;0;15.6738169;-1.66559946;140.88;0
1;0;1;1;F2;0;14.3538169;0.64440054;135.26;0
1;0;1;1;F3;0;17.2638169;-6.77559946;129.57;0
1;0;1;1;F4;0;18.1538169;-17.37559946;135.21;0
1;0;1;1;F5;0;14.7238169;-16.84559946;141.41;0
1;0;1;1;1;18;-5.016183096;-9.58559946;147.46;1.248837876
1;0;1;1;p;0;-5.576183096;-13.45559946;156.62;0.225569276
1;0;1;1;F1;0;-4.526183096;-7.89559946;156.91;0
1;0;1;1;F2;0;-10.2061831;-9.98559946;155.64;0
1;0;1;1;F3;0;-13.2961831;-14.78559946;158.05;0
1;0;1;1;F4;0;-14.2661831;-22.00559946;159.13;0
1;0;1;1;F5;0;-6.496183096;-23.48559946;159.53;0
1;0;1;1;1;19;-0.886183096;-11.70559946;155.26;1.211473224
1;0;1;1;1;20;-5.946183096;-15.56559946;162.31;1.174686103
1;0;1;1;p;0;-13.3061831;-15.57559946;170.12;0.216812196
1;0;1;1;F1;0;-19.0361831;-12.42559946;175.07;0
1;0;1;1;F2;0;-21.7761831;-9.19559946;170.17;0
1;0;1;1;F3;0;-24.0361831;-17.55559946;162.34;0
1;0;1;1;F4;0;-18.3761831;-26.65559946;163.93;0
1;0;1;1;F5;0;-15.6561831;-28.05559946;168.37;0
